"","X","lagoslakeid","year","total_obs","count_oligotrophic","count_mesotrophic","count_eutrophic","Trophic_State","value","lake_namelagos","lake_centroidstate","lake_lat_decdeg","lake_lon_decdeg","trend"
"1",1,317607,1984,1,1,0,0,"Oligotrophic",100,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"2",2,317607,1984,1,1,0,0,"Mesotrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"3",3,317607,1984,1,1,0,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"4",4,317607,1985,2,2,0,0,"Oligotrophic",100,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"5",5,317607,1985,2,2,0,0,"Mesotrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"6",6,317607,1985,2,2,0,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"7",7,317607,1986,4,3,1,0,"Oligotrophic",75,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"8",8,317607,1986,4,3,1,0,"Mesotrophic",25,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"9",9,317607,1986,4,3,1,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"10",10,317607,1987,4,4,0,0,"Oligotrophic",100,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"11",11,317607,1987,4,4,0,0,"Mesotrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"12",12,317607,1987,4,4,0,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"13",13,317607,1988,1,1,0,0,"Oligotrophic",100,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"14",14,317607,1988,1,1,0,0,"Mesotrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"15",15,317607,1988,1,1,0,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"16",16,317607,1989,2,1,1,0,"Oligotrophic",50,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"17",17,317607,1989,2,1,1,0,"Mesotrophic",50,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"18",18,317607,1989,2,1,1,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"19",19,317607,1990,4,2,2,0,"Oligotrophic",50,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"20",20,317607,1990,4,2,2,0,"Mesotrophic",50,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"21",21,317607,1990,4,2,2,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"22",22,317607,1991,2,2,0,0,"Oligotrophic",100,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"23",23,317607,1991,2,2,0,0,"Mesotrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"24",24,317607,1991,2,2,0,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"25",25,317607,1992,4,3,1,0,"Oligotrophic",75,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"26",26,317607,1992,4,3,1,0,"Mesotrophic",25,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"27",27,317607,1992,4,3,1,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"28",28,317607,1993,5,5,0,0,"Oligotrophic",100,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"29",29,317607,1993,5,5,0,0,"Mesotrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"30",30,317607,1993,5,5,0,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"31",31,317607,1994,3,2,1,0,"Oligotrophic",66.6666666666667,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"32",32,317607,1994,3,2,1,0,"Mesotrophic",33.3333333333333,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"33",33,317607,1994,3,2,1,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"34",34,317607,1995,5,2,3,0,"Oligotrophic",40,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"35",35,317607,1995,5,2,3,0,"Mesotrophic",60,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"36",36,317607,1995,5,2,3,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"37",37,317607,1996,5,3,2,0,"Oligotrophic",60,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"38",38,317607,1996,5,3,2,0,"Mesotrophic",40,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"39",39,317607,1996,5,3,2,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"40",40,317607,1997,3,2,1,0,"Oligotrophic",66.6666666666667,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"41",41,317607,1997,3,2,1,0,"Mesotrophic",33.3333333333333,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"42",42,317607,1997,3,2,1,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"43",43,317607,1998,2,2,0,0,"Oligotrophic",100,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"44",44,317607,1998,2,2,0,0,"Mesotrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"45",45,317607,1998,2,2,0,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"46",46,317607,1999,8,7,1,0,"Oligotrophic",87.5,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"47",47,317607,1999,8,7,1,0,"Mesotrophic",12.5,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"48",48,317607,1999,8,7,1,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"49",49,317607,2000,8,7,1,0,"Oligotrophic",87.5,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
